"phonecode","country_iso","country_name","state_or_province_iso","state_or_province_name"
"201","US","United States","NJ","New Jersey"
"202","US","United States","DC","Washington D.C"
"203","US","United States","CT","Connecticut"
"204","CA","Canada","MB","Manitoba"
"205","US","United States","AL","Alabama"
"206","US","United States","WA","Washington"
"207","US","United States","ME","Maine"
"208","US","United States","ID","Idaho"
"209","US","United States","CA","California"
"210","US","United States","TX","Texas"
"212","US","United States","NY","New York"
"213","US","United States","CA","California"
"214","US","United States","TX","Texas"
"215","US","United States","PA","Pennsylvania"
"216","US","United States","OH","Ohio"
"217","US","United States","IL","Illinois"
"218","US","United States","MN","Minnesota"
"219","US","United States","IN","Indiana"
"220","US","United States","OH","Ohio"
"223","US","United States","PA","Pennsylvania"
"224","US","United States","IL","Illinois"
"225","US","United States","LA","Louisiana"
"226","CA","Canada","ON","Ontario"
"227","US","United States","MD","Maryland"
"228","US","United States","MS","Mississippi"
"229","US","United States","GA","Georgia"
"231","US","United States","MI","Michigan"
"234","US","United States","OH","Ohio"
"236","CA","Canada","BC","British Columbia"
"239","US","United States","FL","Florida"
"240","US","United States","MD","Maryland"
"242","BS","Bahamas","",""
"246","BB","Barbados","",""
"248","US","United States","MI","Michigan"
"249","CA","Canada","ON","Ontario"
"250","CA","Canada","BC","British Columbia"
"251","US","United States","AL","Alabama"
"252","US","United States","NC","North Carolina"
"253","US","United States","WA","Washington"
"254","US","United States","TX","Texas"
"256","US","United States","AL","Alabama"
"257","CA","Canada","BC","British Columbia"
"260","US","United States","IN","Indiana"
"262","US","United States","WI","Wisconsin"
"263","CA","Canada","QC","Quebec"
"264","AI","Anguilla","",""
"267","US","United States","PA","Pennsylvania"
"268","AG","Antigua and Barbuda","",""
"269","US","United States","MI","Michigan"
"270","US","United States","KY","Kentucky"
"272","US","United States","PA","Pennsylvania"
"276","US","United States","VA","Virginia"
"279","US","United States","CA","California"
"281","US","United States","TX","Texas"
"284","VG","British Virgin Islands","",""
"289","CA","Canada","ON","Ontario"
"301","US","United States","MD","Maryland"
"302","US","United States","DE","Delaware"
"303","US","United States","CO","Colorado"
"304","US","United States","WV","West Virginia"
"305","US","United States","FL","Florida"
"306","CA","Canada","SK","Saskatchewan"
"307","US","United States","WY","Wyoming"
"308","US","United States","NE","Nebraska"
"309","US","United States","IL","Illinois"
"310","US","United States","CA","California"
"312","US","United States","IL","Illinois"
"313","US","United States","MI","Michigan"
"314","US","United States","MO","Missouri"
"315","US","United States","NY","New York"
"316","US","United States","KS","Kansas"
"317","US","United States","IN","Indiana"
"318","US","United States","LA","Louisiana"
"319","US","United States","IA","Iowa"
"320","US","United States","MN","Minnesota"
"321","US","United States","FL","Florida"
"323","US","United States","CA","California"
"325","US","United States","TX","Texas"
"330","US","United States","OH","Ohio"
"331","US","United States","IL","Illinois"
"332","US","United States","NY","New York"
"334","US","United States","AL","Alabama"
"336","US","United States","NC","North Carolina"
"337","US","United States","LA","Louisiana"
"339","US","United States","MA","Massachusetts"
"340","US","United States","VI","Virginia"
"341","US","United States","CA","California"
"343","CA","Canada","ON","Ontario"
"345","KY","Cayman Islands","",""
"346","US","United States","TX","Texas"
"347","US","United States","NY","New York"
"351","US","United States","MA","Massachusetts"
"352","US","United States","FL","Florida"
"357","US","United States","CA","California"
"360","US","United States","WA","Washington"
"361","US","United States","TX","Texas"
"365","CA","Canada","ON","Ontario"
"368","CA","Canada","AB","Alberta"
"380","US","United States","OH","Ohio"
"385","US","United States","UT","Utah"
"386","US","United States","FL","Florida"
"401","US","United States","RI","Rhode Island"
"402","US","United States","NE","Nebraska"
"403","CA","Canada","AB","Alberta"
